,Model,RMSE,MAE,R²,MAPE(%)
1,Stacking Ensemble,5.443890513923594,3.4463639926951157,0.9865533000826148,9.819669888250106
2,Ridge Regression,5.563907903777484,4.401627944220506,0.985953865776981,18.54632899663272
3,Lasso Regression,5.764288499143722,4.2663995216619375,0.9849239223239292,14.950354041146563
4,Gradient Boosting,8.39987901137928,4.431933656496413,0.9679857737345969,9.199947700052242
5,Random Forest,8.915533202649566,4.621594520257386,0.9639345303427562,11.418835156069724
6,"SARIMAX(1,0,1)",55.87352036380942,43.84974529882052,-0.4164753441212661,329.31720524358485
