,Model,RMSE,MAE,R²,MAPE(%)
1,Stacking Ensemble,44.480704784226596,40.327522834974836,-0.014715962696902896,429.07379545217896
2,Lasso Regression,46.26462574198318,41.98556266724264,-0.09773946828707225,543.926431930874
3,Ridge Regression,46.794736187916214,42.26251543773646,-0.12303988097279084,542.8359427851083
4,Random Forest,47.89530237213013,42.78090536323866,-0.1764866714548774,507.27758852482623
5,Gradient Boosting,55.8909522890896,47.05473300348645,-0.6020799721392565,614.4409831556386
