,Model,RMSE,MAE,R²,MAPE(%)
1,Naïve Baseline (mean),46.022596267230234,39.55738004013866,-0.021246611699493823,
2,Stacking Ensemble,46.43379125564053,39.69746209297037,-0.03957706194155941,301.94805512006246
3,Lasso Regression,46.836790039532566,40.85575932650836,-0.05770034268389779,409.2807396152984
4,Ridge Regression,48.40375740165481,41.925961416403474,-0.129656876141246,432.6459503069091
5,Random Forest,48.41449096272014,41.4518120408577,-0.1301579358152667,321.6589562674368
6,Gradient Boosting,50.73817028962742,43.67513332464349,-0.24124640146243403,316.59610655967316
