,Model,RMSE,MAE,R²,MAPE(%)
1,Random Forest,2.522040256039199,1.7882150809136406,0.9939524676128835,7.29558447890823
2,Gradient Boosting,4.084864577977746,2.4515668509856243,0.9841353863301068,7.9276646559760495
3,Lasso Regression,4.9179668679423045,3.853951431125368,0.9770043668706656,24.130792232052467
4,Stacking Ensemble,5.265002052619552,3.779608280288529,0.9736444997563085,18.600809067583523
5,Ridge Regression,6.022580530389376,4.417594666426322,0.9655142714160064,25.686774560924956
6,"SARIMAX(1,0,1)",33.00427130203891,22.76156897254109,-0.035653485259654616,118.68068752621322
