,Model,RMSE,MAE,R²,MAPE(%)
1,Stacking Ensemble,5.383675836990003,3.330920266031538,0.9868491218742398,10.102122015576755
2,Ridge Regression,5.495952419308458,4.380243213133243,0.9862948789093089,19.11305347075939
3,Lasso Regression,5.763986072929052,4.266441220017186,0.9849255042300045,14.952378142951995
4,Gradient Boosting,8.35518309395598,4.328133022423966,0.968325563932657,9.05750005257804
5,Random Forest,9.095670991182587,4.776772905570331,0.9624624058943202,11.668870410432307
6,"SARIMAX(1,0,1)",55.87352036380942,43.84974529882052,-0.4164753441212661,329.31720524358485
